KB국민카드 이용대금명세서
회원명: 김규은   결제일: 2026-05-15
조회기간: 2026.04.01 ~ 2026.04.30

이용일,이용하신곳,이용카드,이용금액,할부,적립예정포인트
2026.04.03,"엔제리너스 선릉점",5678,"5,400",일시불,54
2026.04.06,"미니스톱 대치점",5678,"6,800",일시불,68
2026.04.06,"미니스톱 대치점",5678,"6,800",일시불,68
2026.04.10,"롯데시네마 건대입구",5678,"26,000",일시불,260
2026.04.14,"ALIEXPRESS.COM 48.30 USD",5678,"65,240",일시불,0
2026.04.17,"삼성디지털프라자 논현점",5678,"980,000",03개월,980
2026.04.21,"랄라블라 강남점",5678,"33,200",일시불,332
2026.04.24,"BHC 대치점",5678,"24,500",일시불,245
2026.04.28,"11번가",5678,"-22,400",일시불,0
합계,,,"1,158,340",,
※ 본 명세서는 고객 편의를 위해 제공되며 실제 청구금액과 다를 수 있습니다.
