승인일시,카드번호,가맹점명,업종,승인금액,공급가액,부가세,통화,해외이용금액,승인번호,사용자,취소여부
2026-03-31 23:51:22,9410,홈플러스 영등포점,대형마트,88400,80364,8036,KRW,,30151907,김규은,N
2026-04-02 08:47:19,9410,하이파킹 테헤란점,주차장,7500,6818,682,KRW,,30158340,이지은,N
2026-04-05 11:12:03,9410,폴바셋 삼성점,커피전문점,7200,6545,655,KRW,,30167112,박서준,N
2026-04-05 16:33:41,9410,폴바셋 삼성점,커피전문점,29600,26909,2691,KRW,,30169558,박서준,N
2026-04-07 09:20:15,9410,ADOBE.COM,디지털콘텐츠,32190,,,USD,22.99,30175603,김규은,N
2026-04-11 21:05:00,9410,법무법인 정률,법률서비스,620000,563636,56364,KRW,,30190244,박서준,N
2026-04-13 15:44:52,9410,NOTION.SO,디지털콘텐츠,6000,,,USD,40.00,30197881,이지은,N
2026-04-15 12:40:00,9410,바다황제 대게마을,일반음식점,234000,212727,21273,KRW,,30205620,김규은,N
2026-04-15 12:40:00,9410,바다황제 대게마을,일반음식점,234000,212727,21273,KRW,,30205620,김규은,Y
2026-04-17 22:18:37,9410,청담 가라오케,유흥,148000,134545,13455,KRW,,30214077,박서준,N
2026-04-18 18:55:40,9410,GS25 삼성중앙점,편의점,8600,7818,782,KRW,,30233417,김규은,N
2026-04-20 09:05:00,9410,코레일 KTX,운수,47300,43000,4300,KRW,,30241190,이지은,N
2026-04-22 23:54:11,9410,요기요,배달중개,24900,22636,2264,KRW,,30250880,이지은,N
2026-04-24 10:30:00,9410,STEAMGAMES.COM,디지털콘텐츠,35000,,,USD,25.00,30262004,박서준,N
2026-05-01 00:14:36,9410,세븐일레븐 역삼점,편의점,5100,4636,464,KRW,,30291552,김규은,N
