KB국민카드 이용대금명세서
회원명: 김규은   결제일: 2026-08-15
조회기간: 2026.07.01 ~ 2026.07.31

이용일,이용하신곳,이용카드,이용금액,할부,적립예정포인트
2026.07.03,"스타벅스 역삼점",5678,"12,300",일시불,123
2026.07.05,"이마트24 본점앞점",5678,"6,800",일시불,68
2026.07.08,"메가박스 코엑스",5678,"32,000",일시불,320
2026.07.12,"AMAZON.COM 29.99 USD",5678,"43,120",일시불,0
2026.07.16,"삼성디지털프라자 강남본점",5678,"1,890,000",06개월,1890
2026.07.20,"올리브영 강남역점",5678,"41,700",일시불,417
2026.07.24,"교촌치킨 논현점",5678,"24,500",일시불,245
2026.07.28,"하이마트 온라인",5678,"-32,000",일시불,0
합계,,,"2,018,420",,
※ 본 명세서는 고객 편의를 위해 제공되며 실제 청구금액과 다를 수 있습니다.
