승인일시,카드번호,가맹점명,업종,승인금액,공급가액,부가세,통화,해외이용금액,승인번호,사용자,취소여부
2026-06-30 23:58:12,9410,쿠팡(주),전자상거래,84500,76818,7682,KRW,,30624815,김규은,N
2026-07-02 12:34:56,9410,모두의주차장 강남점,주차장,12000,10909,1091,KRW,,30711022,김규은,N
2026-07-03 08:15:40,9410,스타벅스 테헤란로점,커피전문점,23800,21636,2164,KRW,,30718334,이지은,N
2026-07-07 14:02:11,9410,오피스디포 역삼점,사무용품,148000,134545,13455,KRW,,30742190,김규은,N
2026-07-09 19:22:05,9410,APPLE.COM/BILL,디지털콘텐츠,55890,,,USD,39.99,30755401,이지은,N
2026-07-10 11:45:33,9410,교보문고 강남점,서적,64300,58455,5845,KRW,,30761877,박서준,N
2026-07-11 09:30:00,9410,KTX 코레일,운수,47200,42909,4291,KRW,,30768245,박서준,N
2026-07-11 21:14:52,9410,AWS EMEA,클라우드,18240,,,USD,89.50,30770913,김규은,N
2026-07-14 13:05:27,9410,한우마을 선릉점,일반음식점,187000,170000,17000,KRW,,30789602,이지은,N
2026-07-14 13:05:27,9410,한우마을 선릉점,일반음식점,187000,170000,17000,KRW,,30789602,이지은,Y
2026-07-18 19:42:08,9410,GS25 학동역점,편의점,8700,7909,791,KRW,,30812456,김규은,N
2026-07-21 13:02:44,9410,애플코리아(유),전자제품,55890,50809,5081,KRW,,30829170,김규은,N
2026-07-25 10:11:36,9410,법무법인 해온,법률서비스,330000,300000,30000,KRW,,30851028,박서준,N
2026-07-31 23:59:41,9410,배달의민족,배달중개,31500,28636,2864,KRW,,30887514,이지은,N
2026-08-01 00:12:09,9410,카카오T,운수,15400,14000,1400,KRW,,30887902,이지은,N
